Topic,Content block,Scene,Scene name,Current copy,Proposed copy,Notes,Source file,Field ID
"Shared · Opening","Headline · line 1","1","Opening","Your future","","","src/components/scenes/Scene1Opening.tsx","1-headline-line-1-default"
"Shared · Opening","Headline · line 2","1","Opening","doesn't start","","","src/components/scenes/Scene1Opening.tsx","1-headline-line-2-default"
"Shared · Opening","Headline · line 3","1","Opening","with choosing","","","src/components/scenes/Scene1Opening.tsx","1-headline-line-3-default"
"Shared · Opening","Headline · line 4","1","Opening","a university.","","","src/components/scenes/Scene1Opening.tsx","1-headline-line-4-default"
"Shared · Opening","Headline · line 5","1","Opening","It starts","","","src/components/scenes/Scene1Opening.tsx","1-headline-line-5-default"
"Shared · Opening","Headline · line 6","1","Opening","with imagining","","","src/components/scenes/Scene1Opening.tsx","1-headline-line-6-default"
"Shared · Opening","Headline · line 7","1","Opening","what's possible.","","","src/components/scenes/Scene1Opening.tsx","1-headline-line-7-default"
"Shared · Opening","UI · scroll indicator","1","Opening","Scroll to explore","","","src/components/ui/ScrollIndicator.tsx","1-ui-scroll-indicator-default"
"Shared · Opening","Headline · line 1","2","Campus Life","Some people arrive","","","src/components/scenes/Scene2CampusLife.tsx","2-headline-line-1-default"
"Shared · Opening","Headline · line 2","2","Campus Life","knowing exactly","","","src/components/scenes/Scene2CampusLife.tsx","2-headline-line-2-default"
"Shared · Opening","Headline · line 3","2","Campus Life","where they're going.","","","src/components/scenes/Scene2CampusLife.tsx","2-headline-line-3-default"
"Shared · Opening","Headline · line 4","2","Campus Life","Most don't.","","","src/components/scenes/Scene2CampusLife.tsx","2-headline-line-4-default"
"Shared · Opening","Headline · line 5","2","Campus Life","Either way...","","","src/components/scenes/Scene2CampusLife.tsx","2-headline-line-5-default"
"Shared · Opening","Headline · line 6","2","Campus Life","you're in the right place.","","","src/components/scenes/Scene2CampusLife.tsx","2-headline-line-6-default"
"Shared · Interest selection","Interest card · emoji","3","Interest Choice","🚀","","","src/lib/interests.ts","3-interest-card-emoji-interest-build"
"Shared · Interest selection","Interest card · emoji","3","Interest Choice","❤️","","","src/lib/interests.ts","3-interest-card-emoji-interest-help"
"Shared · Interest selection","Interest card · emoji","3","Interest Choice","🎨","","","src/lib/interests.ts","3-interest-card-emoji-interest-create"
"Shared · Interest selection","Interest card · emoji","3","Interest Choice","🌎","","","src/lib/interests.ts","3-interest-card-emoji-interest-change-world"
"Shared · Interest selection","Interest card · emoji","3","Interest Choice","💼","","","src/lib/interests.ts","3-interest-card-emoji-interest-business"
"Shared · Interest selection","Interest card · emoji","3","Interest Choice","🔬","","","src/lib/interests.ts","3-interest-card-emoji-interest-discover"
"Shared · Interest selection","Interest card · emoji","3","Interest Choice","🎮","","","src/lib/interests.ts","3-interest-card-emoji-interest-games"
"Shared · Interest selection","Interest card · emoji","3","Interest Choice","🌱","","","src/lib/interests.ts","3-interest-card-emoji-interest-planet"
"Shared · Interest selection","Interest card · emoji","3","Interest Choice","🤔","","","src/lib/interests.ts","3-interest-card-emoji-interest-exploring"
"Shared · Interest selection","Interest card · label","3","Interest Choice","Build things","","","src/lib/interests.ts","3-interest-card-label-interest-build"
"Shared · Interest selection","Interest card · label","3","Interest Choice","Help people","","","src/lib/interests.ts","3-interest-card-label-interest-help"
"Shared · Interest selection","Interest card · label","3","Interest Choice","Create","","","src/lib/interests.ts","3-interest-card-label-interest-create"
"Shared · Interest selection","Interest card · label","3","Interest Choice","Change the world","","","src/lib/interests.ts","3-interest-card-label-interest-change-world"
"Shared · Interest selection","Interest card · label","3","Interest Choice","Start a business","","","src/lib/interests.ts","3-interest-card-label-interest-business"
"Shared · Interest selection","Interest card · label","3","Interest Choice","Discover","","","src/lib/interests.ts","3-interest-card-label-interest-discover"
"Shared · Interest selection","Interest card · label","3","Interest Choice","Design games","","","src/lib/interests.ts","3-interest-card-label-interest-games"
"Shared · Interest selection","Interest card · label","3","Interest Choice","Protect the planet","","","src/lib/interests.ts","3-interest-card-label-interest-planet"
"Shared · Interest selection","Interest card · label","3","Interest Choice","Still exploring","","","src/lib/interests.ts","3-interest-card-label-interest-exploring"
"Shared · Interest selection","Scene UI · body (gated)","3","Interest Choice","Choose one to continue — or explore degrees first, then come back and tap your pick.","","","src/components/scenes/Scene3Interests.tsx","3-scene-ui-body-gated-default"
"Shared · Interest selection","Scene UI · body (selected)","3","Interest Choice","Tap what resonates. Your path adapts from here.","","","src/components/scenes/Scene3Interests.tsx","3-scene-ui-body-selected-default"
"Shared · Interest selection","Scene UI · gate CTA","3","Interest Choice","Or browse all degrees at ASU first →","","","src/components/scenes/Scene3Interests.tsx","3-scene-ui-gate-cta-default"
"Shared · Interest selection","Scene UI · gate prompt","3","Interest Choice","Pick one to continue","","","src/components/scenes/Scene3Interests.tsx","3-scene-ui-gate-prompt-default"
"Shared · Interest selection","Scene UI · headline","3","Interest Choice","What pulls you in?","","","src/components/scenes/Scene3Interests.tsx","3-scene-ui-headline-default"
"Shared · Interest selection","Scene UI · post-select CTA","3","Interest Choice","Browse degrees for your interest →","","","src/components/scenes/Scene3Interests.tsx","3-scene-ui-post-select-cta-default"
"Shared · Interest selection","Scene UI · status (saved)","3","Interest Choice","Saved — scroll to see your path","","","src/components/scenes/Scene3Interests.tsx","3-scene-ui-status-saved-default"
"Shared · Default path (no interest selected)","Mirror · emphasis","4","Personalized Mirror","still forming.","","","src/lib/personalization.ts","4-mirror-emphasis-default"
"Shared · Default path (no interest selected)","Mirror · headline","4","Personalized Mirror","Yours is","","","src/lib/personalization.ts","4-mirror-headline-default"
"Shared · Default path (no interest selected)","Mirror · imageAlt","4","Personalized Mirror","Student looking toward the horizon on campus","","","src/lib/personalization.ts","4-mirror-imagealt-default"
"Shared · Default path (no interest selected)","Mirror · imageSrc","4","Personalized Mirror","https://images.unsplash.com/photo-1523580495183-7fccf8c64754?auto=format&fit=crop&w=2400&q=80","","","src/lib/personalization.ts","4-mirror-imagesrc-default"
"Shared · Default path (no interest selected)","Mirror · preline","4","Personalized Mirror","Every path is different.","","","src/lib/personalization.ts","4-mirror-preline-default"
"Shared · Default path (no interest selected)","Mirror · subline","4","Personalized Mirror","Choose what pulls you in above — and watch the story shift.","","","src/lib/personalization.ts","4-mirror-subline-default"
"Shared · Default path (no interest selected)","Scene UI · headline","5","Path Reveal","Three moments that could be yours.","","","src/components/scenes/Scene5PathReveal.tsx","5-scene-ui-headline-default"
"Shared · Default path (no interest selected)","Scene UI · kicker (default)","5","Path Reveal","Explore paths","","","src/components/scenes/Scene5PathReveal.tsx","5-scene-ui-kicker-default-default"
"Shared · Default path (no interest selected)","Scene UI · kicker (selected)","5","Path Reveal","Your path","","","src/components/scenes/Scene5PathReveal.tsx","5-scene-ui-kicker-selected-default"
"Shared · Default path (no interest selected)","Momentum · headline","6","Momentum","The future isn't waiting.","","","src/lib/personalization.ts","6-momentum-headline-default"
"Shared · Default path (no interest selected)","Momentum · imageAlt","6","Momentum","Students walking across campus at sunset","","","src/lib/personalization.ts","6-momentum-imagealt-default"
"Shared · Default path (no interest selected)","Momentum · imageSrc","6","Momentum","https://images.unsplash.com/photo-1541339907198-e08756dedf32?auto=format&fit=crop&w=2400&q=80","","","src/lib/personalization.ts","6-momentum-imagesrc-default"
"Shared · Default path (no interest selected)","Momentum · stat","6","Momentum","140K+","","","src/lib/personalization.ts","6-momentum-stat-default"
"Shared · Default path (no interest selected)","Momentum · statLabel","6","Momentum","students charting their own path","","","src/lib/personalization.ts","6-momentum-statlabel-default"
"Shared · Default path (no interest selected)","Momentum · subline","6","Momentum","Neither should you.","","","src/lib/personalization.ts","6-momentum-subline-default"
"Shared · Default path (no interest selected)","Scene UI · helper","6","Momentum","More of your story is coming — two choices below shape what follows","","","src/components/scenes/Scene6Momentum.tsx","6-scene-ui-helper-default"
"Shared · Default path (no interest selected)","Scene UI · quote footer kicker","7","Student Voice","Golden Conversations","","","src/components/scenes/Scene7StudentVoice.tsx","7-scene-ui-quote-footer-kicker-default"
"Shared · Default path (no interest selected)","Scene UI · ribbon suffix","7","Student Voice","· your path","","","src/components/scenes/Scene7StudentVoice.tsx","7-scene-ui-ribbon-suffix-default"
"Shared · Default path (no interest selected)","Student voice · context","7","Student Voice","ASU alum · Senior Director, Business Development","","","src/lib/sprint3-content.ts","7-student-voice-context-default"
"Shared · Default path (no interest selected)","Student voice · imageAlt","7","Student Voice","Graduating student celebrating at ASU","","","src/lib/sprint3-content.ts","7-student-voice-imagealt-default"
"Shared · Default path (no interest selected)","Student voice · imageSrc","7","Student Voice","/images/scenes/graduating-student.jpg","","","src/lib/sprint3-content.ts","7-student-voice-imagesrc-default"
"Shared · Default path (no interest selected)","Student voice · name","7","Student Voice","Nikhil D.","","","src/lib/sprint3-content.ts","7-student-voice-name-default"
"Shared · Default path (no interest selected)","Student voice · quote","7","Student Voice","The relationships that you make with people make you who you are.","","","src/lib/sprint3-content.ts","7-student-voice-quote-default"
"Shared · Default path (no interest selected)","Scene UI · kicker","8","Stat Beats","What does it mean?","","","src/components/scenes/Scene8StatBeats.tsx","8-scene-ui-kicker-default"
"Shared · Default path (no interest selected)","Stat beat 1 · label","8","Stat Beats","in innovation","","","src/lib/sprint3-content.ts","8-stat-beat-1-label-default"
